cluster,field,academic_rank
14.0,เศรษฐศาสตร์ระหว่างประเทศ,1
14.0,เศรษฐศาสตร์สหกรณ์,2
14.0,เศรษฐศาสตร์สาธารณสุข,1
14.0,เศรษฐศาสตร์สิ่งแวดล้อม,1
14.0,เศรษฐศาสตร์เกษตร,19
14.0,เศรษฐศาสตร์เกษตรและทรัพยากร,1
15.0,การวัดผลการศึกษา,4
15.0,การวิจัย,1
15.0,การวิจัยการศึกษา,2
15.0,การวิจัยดำเนินงาน,1
15.0,การวิจัยทางการศึกษา,1
15.0,การวิจัยพฤติกรรมศาสตร์,1
15.0,การวิจัยพฤติกรรมศาสตร์ประยุกต์,1
15.0,การวิจัยและพัฒนาหลักสูตร,2
15.0,การศึกษาผู้ใหญ่ การศึกษานอกระบบ และการศึกษาตลอดชีวิต,1
15.0,นิเทศการศึกษาและพัฒนาหลักสูตร,1
15.0,ประชากรศาสตร์ (เน้นระเบียบวิธีวิจัย),1
15.0,พัฒนศึกษา,1
15.0,พัฒนศึกษาศาสตร์,1
15.0,วิจัยการศึกษา,13
15.0,วิจัยและประเเมินผลทางการศึกษา,1
15.0,วิจัยและพัฒนาการศึกษา,1
15.0,สถิติวิจัย,1
16.0,ชะรีอะฮฺ(กฏหมายอิสลาม),1
16.0,ปรัชญาศาสนา (ตะวันออก),1
16.0,พุทธศาสนา (พุทธปรัชญา),1
16.0,ภาษาศาสตร์,21
16.0,"ภาษาศาสตร์ (การสอนภาษาอังกฤษ,ภาษาศาสตร์ประยุกต์)",1
16.0,ภาษาศาสตร์ (ภาษาญี่ปุ่นและวรรณคดีญี่ปุ่น),1
16.0,"ภาษาศาสตร์ (ภาษาไทย,ภาษาถิ่น)",1
16.0,ภาษาศาสตร์ (วากยสัมพันธ์),2
16.0,ภาษาศาสตร์ (สัทวิทยา),1
16.0,"ภาษาศาสตร์ (เชิงประวัติ,ชาติพันธ์)",1
16.0,"ภาษาศาสตร์(วากยสัมพันธ์ สัทวิทยา,ภาษาไทย)",1
16.0,"ภาษาศาสตร์(วากยสัมพันธ์,อรรถศาสตร์,ภาษาศาสตร์ประชาชนแบบลักษณ์ภาษา)",1
16.0,"ภาษาศาสตร์(เชิงประวัติ,ชาติพันธ์)",1
16.0,ภาษาศาสตร์ประยุกต์,4
16.0,ภาษาศาสตร์ภาษาอังกฤษ,1
16.0,ภาษาศาสตร์สัทศาสตร์,1
16.0,ภาษาอังกฤษและภาษาศาสตร์,6
16.0,"ภาษาไทย (การใช้ภาษาไทย,ภาษาศาสตร์,ภาษาไทย)",1
16.0,"ภาษาไทย (หลักและการใช้ภาษา,ภาษาศาสตร์คอมพิวเตอร์)",1
16.0,"โบราณคดี(ภาษาตระกูลมอญ,เขมร,กระตูอิก,บัฮนาริก,สัทศาสตร์,สัทวิทยา,เอเชียตะวันออกเฉียงใต้,หลักการทำพจนานุกรม,ภาษาศาสตร์ภาคสนาม,เปรียบเทียบ)",1
17.0,กีฏวิทยาการแพทย์,1
17.0,กีฏวิทยาทางการแพทย์,1
17.0,กุมารเวชศาสตร์,106
17.0,กุมาเวชศาสตร์,6
17.0,นิติเวชศาสตร์,14
17.0,พยาธิวิทยาคลินิก,11
17.0,"พยาบาลศาสตร์, สรีรวิทยา, โภชนศาสตร์",1
17.0,มานุษยวิทยาการแพทย์,1
17.0,วิศวกรรมชีวการแพทย์,1
17.0,สาธารณสุขศาสตร์,19
17.0,อาชีวเวชศาสตร์,1
