Column1,academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
2867,รองศาสตราจารย์,ดร. วิโรจน์ ศรีสุรภานนท์,Viroat Srisurapanon,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,วิศวกรรมโยธา,2,4,2,1,5,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2868,รองศาสตราจารย์,ดร. วิโรจน์ สารรัตนะ,Wirot Sanrattana,มหาวิทยาลัยขอนแก่น,Khon Kaen University,การบริหารการศึกษา,0,4,0,0,7,ปริญญาเอก,ข้าราชการ
2869,รองศาสตราจารย์,ดร. วิโรจน์ อรุณมานะกุล,Wirote Aroonmanakun,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ภาษาศาสตร์,22,11,18,3,10,ปริญญาเอก,ข้าราชการ
2870,รองศาสตราจารย์,ดร. วิโฬฏฐ์ วัฒนานิมิตกูล,,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University and Princess of Naradhiwas University,การศึกษา,,,,,,ปริญญาเอก,ข้าราชการ
2871,รองศาสตราจารย์,ดร. วิไล ตั้งจิตสมคิด,,มหาวิทยาลัยราชภัฏธนบุรี,Dhonburi Rajabhat University,พื้นฐานการศึกษา,,,,,,ปริญญาเอก,ข้าราชการ
2872,ศาสตราจารย์,ดร. วิไล รังสาดทอง,Vilai Rungsardthong,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,King Mongkut's University of Technology North Bangkok,เทคโนโลยีอุตสาหกรรมเกษตร,1125,50,944,19,71,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2873,รองศาสตราจารย์,ดร. วิไล วงศ์สืบชาติ,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ประชากรศาสตร์,,,,,,ปริญญาเอก,ข้าราชการ
2874,รองศาสตราจารย์,ดร. วิไล อโนมะศิริ,Wilai T. Anomasiri,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ชีวเคมี,195,19,191,9,33,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2875,รองศาสตราจารย์,ดร. วิไล เจียมไชยศรี,Wilai Chiemchaisri,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,วิศวกรรมสิ่งแวดล้อม,946,75,752,18,97,ปริญญาเอก,ข้าราชการ
2876,รองศาสตราจารย์,ดร. วิไล เทียนรุ่งโรจน์,Wilai Noonpakdee,มหาวิทยาลัยมหิดล,Mahidol University,ชีวเคมี,762,18,695,13,53,ปริญญาเอก,ข้าราชการ
