"academic_rank","thai_db_name","scopus_name","thai_affiliation","eng_affiliation","field","citation_count","doc_count","cited_by_count","h_index","co_author_count","highest_edu","employment_type","field_group","funded_by","missing_scopus","rank_i","passed"
"asso_prof","ดร. วรรณี แกมเกตุ","","จุฬาลงกรณ์มหาวิทยาลัย","Chulalongkorn University","วิจัยการศึกษา",NA,NA,NA,1,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","social_science","gov_university",TRUE,1,0
"asso_prof","ดร. วรรณ์ดี แสงประทีปทอง","","มหาวิทยาลัยสุโขทัยธรรมาธิราช","Sukhothai Thammathirat Open University","ศึกษาศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. วรลัญจก์ บุณยสุรัตน์","","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","ประวัติศาสตร์สถาปัตยกรรม",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","liberal_arts","gov_university",TRUE,1,0
"asso_prof","ดร. วรวิทย์ เจริญเลิศ","","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","เศรษฐศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","social_science","gov_university",TRUE,1,0
"asso_prof","ดร. วรวุฒิ โรมรัตนพันธ์","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","พัฒนาชุมชน",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วรศักดิ์ ทุมมานนท์","","จุฬาลงกรณ์มหาวิทยาลัย","Chulalongkorn University","การบัญชี",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วรัชยา ศิริวัฒน์","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","รัฐศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วรัทยา ธรรมกิตติภพ","","มหาวิทยาลัยเกษตรศาสตร์","Kasetsart University","อาชีวศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","liberal_arts","gov_university",TRUE,1,0
"asso_prof","ดร. วรางคณา จันทร์คง","","มหาวิทยาลัยสุโขทัยธรรมาธิราช","Sukhothai Thammathirat Open University","สาธารณสุขศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","medicine","gov_university",TRUE,1,0
"asso_prof","ดร. วรางคณา โตโพธิ์ไทย","","มหาวิทยาลัยสุโขทัยธรรมาธิราช","Sukhothai Thammathirat Open University","เทคโนโลยีการศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","ดร. วรางค์รัตน์ จันทสาโร","","มหาวิทยาลัยเกษตรศาสตร์","Kasetsart University","วิศวกรรมเครื่องกล",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","engineering","government",TRUE,1,0
"asso_prof","ดร. วราภรณ์ เชาว์วิศิษฐ","","จุฬาลงกรณ์มหาวิทยาลัย","Chulalongkorn University","วิศวกรรมไฟฟ้า",NA,NA,NA,1,NA,"ปริญญาเอก","ข้าราชการ","engineering","government",TRUE,1,0
"asso_prof","ดร. วราวุธ เสือดี","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","วิทยาศาสตร์สิ่งแวดล้อม",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","ดร. วริษฎา ศิลาอ่อน","","มหาวิทยาลัยอุบลราชธานี","Ubon Ratchathani University","เภสัชศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","medicine","government",TRUE,1,0
"asso_prof","ดร. วริษา กมลนาวิน","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","ภาษาศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. วรเจตน์ ภาคีรัตน์","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","นิติศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"asso_prof","ดร. วลัยพร นันท์ศุภวัฒน์","","มหาวิทยาลัยมหาสารคาม","Mahasarakham University","การพยาบาล",NA,NA,NA,1,NA,"ปริญญาเอก","ข้าราชการ","medicine","government",TRUE,1,0
"asso_prof","ดร. วลัยรัตน์ จันทรวงศ์","","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ","King Mongkut's University of Technology North Bangkok","วิทยาศาสตร์สิ่งแวดล้อม",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","natural_science","gov_university",TRUE,1,0
"asso_prof","ดร. วลัยวัชร ชัยบุตร","","มหาวิทยาลัยสุโขทัยธรรมาธิราช","Sukhothai Thammathirat Open University","เทคโนโลยีการศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
